pergunta;alternativa1;alternativa2;alternativa3;alternativa4;correta
A história da Administração se desenvolveu lentamente. A partir de qual século houve grande mudança e inovações?;Século XVI;Século XVII;Século XVIII;Século XX;Século XX
Na obra "A República", qual filósofo grego discorre sobre a democracia?;Platão;Aristóteles;Sócrates;René Descartes;Platão
Aristóteles, em "Política", cita três formas de administração pública. Qual NÃO é uma delas?;Monarquia;Aristocracia;Plutocracia;Democracia;Plutocracia
Qual filósofo é o fundador da filosofia moderna e criador do método cartesiano?;Thomas Hobbes;René Descartes;Jean-Jacques Rousseau;Sócrates;René Descartes
Em "Leviatã", qual filósofo defende que o Estado garante a paz impondo ordem?;René Descartes;Thomas Hobbes;Jean-Jacques Rousseau;Platão;Thomas Hobbes
Quem escreveu a Teoria do Contrato Social?;Thomas Hobbes;René Descartes;Jean-Jacques Rousseau;Sócrates;Jean-Jacques Rousseau
As normas administrativas e os princípios de organização pública migraram das instituições do Estado para quais outras instituições?;Comerciais e Educacionais;Igreja Católica e Organização Militar;Artísticas e Filosóficas;Científicas e Tecnológicas;Igreja Católica e Organização Militar
O que levou à mudança administrativa do Estado para a Igreja e a organização militar?;Influência política e social;Unidade de propósitos e objetivos;Declínio do Estado e ascensão religiosa;Expansão territorial;Unidade de propósitos e objetivos
Qual característica torna a Igreja Católica eficiente em sua operação mundial?;Hierarquia simples com o Papa;Descentralização com autonomia por diocese;Tecnologia na gestão;Participação democrática dos fiéis;Hierarquia simples com o Papa
Quem escreveu "A Arte da Guerra", sobre planejamento de guerra?;Aristóteles;Sun Tzu;Platão;Napoleão Bonaparte;Sun Tzu
Qual o núcleo das organizações militares, presente em outras organizações?;Unidade de comando com um superior;Descentralização com autonomia por pelotão;IA na tomada de decisões;Comunicação horizontal;Unidade de comando com um superior
O que caracteriza a escala hierárquica na organização militar?;Flexibilidade na cadeia de comando;Definição de escalões com autoridade e responsabilidade;Ausência de hierarquia rígida;Tecnologias digitais para eliminar o comando;Definição de escalões com autoridade e responsabilidade
O que o princípio da direção ensina na organização militar?;Obediência cega;Prontidão constante;Cada soldado precisa saber o que se espera dele;Intuição e criatividade em combate;Cada soldado precisa saber o que se espera dele
Qual general, mesmo autocrata, explicava o objetivo de suas ordens?;Sun Tzu;Napoleão Bonaparte;Alexandre, o Grande;Júlio César;Napoleão Bonaparte
Qual a principal contribuição da Filosofia para a Administração?;Planos de guerra;Produção em massa;Análise de problemas políticos e sociais e reflexão sobre a organização do Estado;Técnicas de motivação;Análise de problemas políticos e sociais e reflexão sobre a organização do Estado
Por que a Administração parou de receber contribuições da Filosofia Moderna?;Filosofia Moderna a considerava inferior;Filosofia se afastou de problemas organizacionais;Filósofos modernos não se interessavam por questões práticas;Administração se tornou ciência exata;Filosofia se afastou de problemas organizacionais
Segundo Maslow, qual a relação entre as necessidades de segurança e o comportamento do empregado?;Não interferem;Surgem em ambientes perigosos;Ações arbitrárias e incoerentes geram incerteza e insegurança;Menos importantes que as sociais;Ações arbitrárias e incoerentes geram incerteza e insegurança
Para Maslow, o que ocorre quando as necessidades sociais do indivíduo não são satisfeitas no trabalho?;Produtividade aumentada;Criatividade aumentada;Resistência, antagonismo e hostilidade;Introversão;Resistência, antagonismo e hostilidade
Segundo Herzberg, o que ocorre com fatores higiênicos precários no trabalho?;Aumento da motivação;Aumento da criatividade;União entre os empregados;Insatisfação dos empregados;Insatisfação dos empregados
Qual a diferença principal entre os estudos de Maslow e Herzberg sobre a motivação?;Maslow estudou pessoas em pobreza e Herzberg, executivos;Maslow usou dados estatísticos e Herzberg, observações empíricas;Maslow estudou a satisfação das necessidades em vários campos da vida e Herzberg, no trabalho;Não há diferenças;Maslow estudou a satisfação das necessidades em vários campos da vida e Herzberg, no trabalho



